x,y,z,class
-3.568946082,-4.278082854,0.652272428,3
-1.763717024,4.610500767,0.273142456,2
-0.078206234,-4.055817969,0.650065564,3
2.871862777,1.321760996,-0.786556089,0
-4.637321548,-1.34695907,0.272563897,2
3.631828292,1.577493637,-0.318311918,0
4.048218265,1.589548724,-0.237372949,0
1.04477759,-0.920095741,-0.988368212,2
4.639252968,4.800449773,0.697490764,0
1.590704672,-2.337836329,-0.167736617,1
0.306579831,-3.264182754,0.557186539,3
-1.537233788,-2.823939543,0.305746408,3
-1.639717676,4.789616835,0.273116933,2
2.69564744,-0.914593443,-0.602998337,0
2.635289995,0.319470452,-0.61991637,0
-2.824035769,-1.162714482,0.263204369,2
-3.776347675,2.697905696,-0.016732605,2
-3.449716345,0.953758167,-1.32066239,2
-3.103800434,-1.81028885,0.270382641,2
-4.822338377,-3.127290478,0.675291799,3
3.102646361,1.025314529,-0.457141478,0
2.239551629,-1.760609261,-0.436816307,0
-4.477927242,1.668690726,-1.005271215,2
-0.483215637,-3.830981187,0.674965747,3
-1.996728378,-2.588852371,-0.208277251,3
-1.306442982,0.598744571,-0.735747525,2
3.19332463,-0.380315364,-0.232709903,0
2.157469884,1.233587402,-0.560211049,0
1.733811335,2.815555999,-1.177683638,0
3.455304001,-2.861385993,-1.104834033,1
4.825278332,-2.477713377,-0.544898414,1
3.769954787,3.378664955,-0.370254618,0
2.33715056,-1.109563142,-0.513313006,0
-3.427141488,-0.903610045,0.261658593,2
1.033017533,-3.943509169,-0.011981148,3
3.682615567,0.18389943,0.220379628,0
3.359388143,-3.440940517,-1.205797751,1
4.8365273,-2.188261784,-0.270466119,1
-3.608394535,-2.141893142,0.2524748,3
-4.932220908,-1.221658494,0.271917054,2
2.168633658,-4.890825586,-0.72516717,1
-4.603046933,-2.561521103,0.655593571,3
4.989732145,-3.335601331,-1.125786172,1
-0.945518539,1.002083695,-1.267657365,2
-4.403436196,4.624292785,0.273214762,2
-4.471871236,-0.492740392,0.235757551,2
4.294814986,-0.137532002,0.490486125,0
-1.695062871,3.203543615,0.202929127,2
2.825634058,-1.524034862,-0.552833862,0
-3.932513665,3.46368361,0.252167087,2
-0.947307727,3.002018743,0.154431027,2
4.186711303,-0.470001851,0.564507695,0
-4.619612827,3.548125923,0.259406978,2
-1.361221044,-0.239849951,0.08044459,2
-3.540043227,2.899154159,0.094697464,2
4.943410815,4.857091732,0.71625744,0
3.713771763,3.965203104,0.11476315,0
-4.792791096,-3.305481536,0.676078342,3
2.541471472,0.756764746,-0.649403572,0
0.430502089,-4.027484965,0.501547414,3
1.743242728,3.009914439,-1.04639336,0
3.111998227,-0.060766773,-0.324213676,0
-2.230907723,-1.68962601,0.181912116,2
-1.293875943,-0.054164843,-0.017021387,2
-2.620007213,-3.7064298,0.306988505,3
1.698865214,-3.020444354,-0.244958601,1
4.506824231,-1.732390358,0.69327768,0
2.953963193,-3.04788407,-1.304257971,1
0.416838469,-4.439054704,0.508489518,3
-0.694195447,-4.333955991,0.680092067,3
3.649112681,-1.697256847,0.271449471,0
-2.616446815,2.797059624,-0.052659707,2
-4.347057533,-3.030303573,0.62495713,3
-0.140893249,0.930593559,-2.021699651,2
3.225138474,2.022988271,-1.155426286,0
-3.16106354,-1.528711126,0.27098641,2
4.93396076,2.174222028,-0.763488847,0
-4.276969903,-2.415357506,0.595059282,3
3.780034149,2.512510574,-0.970484609,0
-3.705406634,-3.69602775,0.560671066,3
2.279156811,4.755089968,-0.483703883,0
4.754176152,-2.795439782,-0.922165618,1
4.42330405,0.407993593,0.131857734,0
-4.126627298,2.148484819,-0.548637508,2
0.749987356,-2.491430019,0.27790643,3
2.209176068,-4.685699144,-0.772092128,1
2.432143765,0.25391991,-0.574216802,0
3.170171853,-2.631938467,-1.218609235,1
3.544781459,1.770865359,-0.562527382,0
-0.68955454,0.364259921,-0.684055988,2
3.829209624,-3.416712358,-1.107938853,1
4.002437412,-0.919852739,0.528368396,0
2.61312155,4.696897099,-0.629460742,0
-2.018707059,0.561405385,-1.023426216,2
1.571684615,4.768388609,0.264295772,0
0.888289912,-1.437217438,-0.865832859,2
-1.311776893,-1.043032564,-0.052770669,2
0.614280909,-0.471534897,-0.776006896,2
-2.354815843,-2.576818611,-0.556899426,3
2.934640116,0.202131305,-0.489748518,0
3.119919225,3.167584661,-1.296148598,0
-0.43752121,-1.634701335,-0.881076392,2
2.398676641,4.712058886,-0.567878775,0
4.234115509,1.119307814,-0.124706087,0
0.104444427,-4.621161089,0.618508327,3
-4.187094578,2.645377179,-0.029465159,2
4.859479974,-0.608151336,0.646162663,0
2.600959669,-0.557539703,-0.611992644,0
-2.686567709,4.774572843,0.273236055,2
0.838211282,1.642353437,-2.404626962,2
-3.603207126,-2.918060032,0.213628825,3
-0.226783449,4.680222646,0.180428474,2
3.266007983,-1.897068451,-1.076309027,1
-4.612337361,1.230297279,-1.044086357,2
-1.652182407,3.860022192,0.269049881,2
-2.367043817,-4.595712676,0.662255099,3
-1.450433504,-3.689537131,0.587746045,3
-4.391026181,-2.344145714,0.625188174,3
4.928338682,-4.479454459,-0.273428709,1
-2.20940382,4.709531723,0.273221627,2
3.23905833,0.164924375,-0.197851057,0
4.795380741,-3.594792422,-1.180214319,1
-4.689905409,0.325024917,-0.147164872,2
0.771183904,3.636578326,-0.631661405,2
0.887316362,-2.407672526,0.145902312,3
2.827686415,-2.402786868,-1.263891545,1
-4.025901081,-3.220768188,0.554645638,3
1.240403521,4.115103284,-1.03335389,2
-0.35633745,4.196861444,0.212941291,2
1.276558795,-0.663761716,-1.14907166,2
-0.734127094,-1.057402806,-0.276381518,2
2.385755495,-0.560342808,-0.544266661,0
3.734632151,-1.218202517,0.347829789,0
-3.722090672,-1.055202298,0.268753295,2
4.11631738,0.654620487,0.145175672,0
-1.093738039,4.613207029,0.270637928,2
1.769128347,-3.710642307,-0.303926367,1
2.514401758,3.995600964,-0.797631262,0
4.103912561,-4.89558646,-0.288105326,1
-2.947153449,-2.368106185,-0.482473409,3
3.96230179,1.760297156,-0.35427716,0
1.29404313,-0.780537111,-1.133291294,2
-3.654858674,-1.669703687,0.272970352,2
1.870378576,0.336658771,-0.049815609,0
-2.593413757,2.584127262,-0.303738471,2
1.159184811,1.847252396,-2.277522163,2
-1.503313516,1.99697076,-0.977567051,2
-3.950238347,-4.395625286,0.674837201,3
2.89208798,-2.695089861,-1.284842817,1
3.392920572,4.964899628,-0.00579356,0
-4.850404486,1.444168044,-1.073307893,2
-4.814184854,2.991540969,0.163556547,2
-2.041413592,3.411793723,0.237819091,2
-0.661044373,-0.463873532,-0.033059846,2
-2.285732385,-1.884483346,-0.049390913,3
1.14635781,-4.066329917,-0.141705444,3
-0.939508859,-1.472182218,-0.625134567,2
3.74531272,0.192232727,0.258879694,0
-4.469771962,-4.329199105,0.68147362,3
-1.870934456,2.346949324,-0.566575148,2
-0.351058037,-2.985608305,0.666660863,3
-0.49642555,1.629128504,-1.406409761,2
2.870043384,3.259655245,-1.410844345,0
0.645761425,-0.971938333,-0.631402687,2
4.921686426,1.576964179,-0.730714539,0
-1.266022183,1.570500415,-1.362118549,2
4.257729858,0.15626437,0.357545401,0
-1.139449711,0.268443772,-0.32219412,2
0.271304338,4.534825948,-0.095805523,2
-4.66046585,3.188691343,0.216587228,2
2.208457766,2.347138731,-1.659895629,0
4.003534111,-3.892041879,-0.925064956,1
-0.982436712,0.713992654,-0.937392922,2
1.507985874,-1.906858557,-0.131063718,1
4.596336325,-1.295439773,0.700697618,0
-1.775641184,-2.696503109,0.052211338,3
-2.176229397,-0.380342397,0.131970724,2
-1.28874753,-2.036215451,0.52087596,3
4.823749374,0.267201158,0.064975714,0
-4.052486379,4.681317887,0.273227476,2
2.30151876,1.037279353,-0.599979413,0
4.442110925,-0.064270124,0.445434249,0
2.264138768,-0.043178608,-0.459033429,0
1.972018441,-2.600515766,-0.504289379,1
1.066601113,-4.282019454,-0.050097383,3
-3.529728504,0.535748296,-0.629472371,2
-3.795265563,-4.253746,0.662432572,3
2.417000754,2.302034834,-1.780151176,0
-1.272927213,-1.568330174,-0.442008776,2
-4.273605517,-0.001920825,0.077497781,2
4.062210867,3.928328591,0.327877326,0
-1.958830345,-2.999796567,-0.027264691,3
3.590060345,1.664121185,-0.42315371,0
-3.814521588,2.705379205,-0.007841565,2
-2.19469845,1.891242728,-1.622116522,2
1.772183187,3.606598971,-0.431629338,0
2.102733304,2.790049099,-1.605334801,0
-0.927488538,-4.594775094,0.681786025,3
-4.05617399,-0.037479605,0.085015138,2
-3.638636881,-4.103755897,0.635552308,3
0.737251852,-0.344465415,-0.984562839,2
-1.185354707,2.977332476,0.143360418,2
4.582183587,-0.751484707,0.666038772,0
2.380063915,-0.616595121,-0.540897858,0
3.713540911,4.64848281,0.309232362,0
-0.931506711,-3.880505302,0.669548564,3
-4.067945902,2.379421179,-0.284334061,2
0.376280346,0.217824564,-1.520696358,2
0.034990621,-2.806292271,0.631731826,3
-4.744790201,1.434334491,-1.07756021,2
0.994634999,-4.424345812,0.030969003,3
-2.70666159,-2.489619599,-0.64193913,3
4.013685739,-0.875235973,0.532728967,0
-1.289889326,2.188580019,-0.603982474,2
3.762391033,4.489059413,0.332408917,0
1.774354696,1.405401698,-0.245406932,0
-2.280739097,2.53207185,-0.368655549,2
-4.739419881,-3.088477997,0.671221731,3
-2.916701328,-1.831378176,0.266343997,2
3.137723307,-2.358383707,-1.204058008,1
-2.082094879,3.08608306,0.150826397,2
-3.136529951,-0.114598795,0.009392012,2
-0.953601085,3.381579917,0.239169236,2
-0.627026993,3.709474613,0.244976256,2
-3.253399044,0.081011897,-0.143497762,2
-3.174648534,3.132103193,0.177101854,2
-1.417372375,-2.713321618,0.385140186,3
-1.362598881,-0.306482591,0.101346758,2
3.886795304,-0.443234507,0.43517834,0
3.43464539,3.277715703,-0.81752462,0
4.649171647,4.666571979,0.689776189,0
-3.164009801,4.512075683,0.273146036,2
-0.106000805,-2.780932161,0.65155174,3
-0.472615354,1.203783862,-1.705708558,2
0.416952122,-3.796693187,0.508409208,3
0.048005535,-3.196357318,0.629620658,3
-2.866993727,1.877025388,-1.627485024,2
-2.796730431,3.552527206,0.252837265,2
-0.618566748,-2.329620058,0.659009394,3
-1.007590732,-4.688207308,0.682149361,3
-3.852154511,1.780918636,-1.067014145,2
3.914320786,-0.500955538,0.456535262,0
3.97441834,4.178431465,0.404266267,0
-0.237613223,3.669504708,0.175402357,2
-0.766495945,-0.044792426,-0.183643613,2
-0.895777786,1.009336198,-1.295351964,2
-3.054209041,0.020656906,-0.129955414,2
2.343810679,-2.393100647,-0.924859367,1
2.995514208,-4.821547304,-1.236161843,1
1.66448833,1.927684708,-0.653968413,0
-0.447605761,2.046023878,-0.823273536,2
2.691846979,-0.268474204,-0.60469546,0
-2.743303413,4.407069053,0.273021973,2
-2.492358354,4.123601538,0.272014816,2
0.835923927,3.904514252,-0.697615154,2
1.425841264,-4.281417149,-0.443760749,3
-0.670627296,-4.282809919,0.679695937,3
-0.190646621,-0.008833321,-0.644691056,2
-3.424934168,-2.100011444,0.1104943,3
2.882726159,-3.590375937,-1.300560489,1
2.934095909,-3.546867852,-1.307122999,1
-3.948791542,1.658199245,-1.134558853,2
0.325363456,-4.260570544,0.549856283,3
-1.398453268,2.705172416,-0.029038583,2
-2.290042479,-3.084300149,-0.239129659,3
1.219325907,-3.541318456,-0.225315205,3
-3.451236427,-4.14092242,0.623365733,3
-3.573802858,-2.97235473,0.205934527,3
1.078955694,3.99908248,-0.933553495,2
2.693740948,1.516157846,-1.009299871,0
0.286014465,3.004158713,-0.221548166,2
4.081976421,2.66354724,-0.799914518,0
3.425639796,4.570042166,0.007451394,0
0.382253698,2.619322691,-0.545317507,2
-2.727388106,-0.86050584,0.247903667,2
1.289922498,1.92406115,-2.198387616,2
2.259269921,-3.786645766,-0.832067548,1
2.987179432,-4.404729728,-1.25593017,1
3.279749381,-3.792026733,-1.203658272,1
4.713895492,-2.514235587,-0.615428774,1
-0.032616357,0.02145312,-0.829731978,2
-1.118702046,3.461769394,0.249474853,2
1.589065623,1.177188123,0.089927835,0
3.858183109,-2.340059044,-0.664430283,1
4.543729831,-4.964190864,-0.084045595,1
2.164525692,2.144539096,-1.44484735,0
-1.380864797,4.370758823,0.272462681,2
2.30168762,0.911165063,-0.562173344,0
-2.522456179,0.196326513,-0.456181201,2
1.570306236,1.746336829,-0.354675417,0
4.583201455,4.741058843,0.688643975,0
-4.394646585,4.78488987,0.273243283,2
-1.894843685,-2.776920849,-0.061529305,3
-3.163056772,3.126854032,0.174878379,2
-2.928155074,4.191636774,0.272451531,2
1.392640604,2.018683964,-2.069455165,2
-3.270785618,-1.601598365,0.271884214,2
-3.737227997,3.919419842,0.270537824,2
-1.039811851,-4.461320841,0.680285724,3
1.001606852,4.664525191,-0.865318468,2
-4.439814515,4.933722048,0.273253018,2
4.597656315,4.728323412,0.689377981,0
4.44504859,3.290092031,-0.171583443,0
0.883013426,-3.621411146,0.150389038,3
-0.981647183,1.891675266,-0.958757331,2
-4.3416486,-3.938084052,0.672091482,3
-3.720890981,2.279547317,-0.468011305,2
-3.237475229,-2.393972778,-0.220428237,3
-4.645821313,0.089501679,0.03366707,2
4.585032718,4.030793171,0.523104236,0
3.843425759,2.787986082,-0.881143667,0
-4.674198474,-2.492903883,0.6626996,3
-3.654992295,-4.498012357,0.671679436,3
3.72966159,-3.785368062,-1.011950347,1
-1.325699414,2.121792656,-0.711298096,2
3.367490987,-2.722422618,-1.122894823,1
-0.086793034,-2.002926579,0.649919782,3
2.853145555,-3.245515918,-1.297272877,1
-1.828468062,2.172285497,-0.854653546,2
-0.403709336,-2.984289369,0.667266606,3
0.012340827,-2.063426321,0.635850316,3
3.544108951,-0.592234804,0.158901849,0
-1.420556519,2.896950248,0.096311956,2
1.96854298,2.202384952,-1.289269645,0
-3.264680028,-2.669218011,-0.213838382,3
-0.939000438,-3.135810141,0.627829183,3
-3.942253575,2.366364891,-0.315147214,2
3.851803885,2.857282788,-0.835128469,0
3.812202145,-3.608716489,-1.067405848,1
-0.626001484,-4.735564628,0.680416649,3
-3.018855941,-4.631287403,0.666455804,3
-4.999514993,0.071783478,0.047319317,2
-4.036528903,3.684598814,0.265333064,2
1.515043951,-1.859540842,-0.138525123,1
-4.914974756,1.017121575,-0.883326311,2
2.867919923,-4.124031834,-1.276835798,1
3.991997486,-1.139166282,0.527231006,0
-4.70609841,0.471148745,-0.290827428,2
-2.400666708,2.814010681,-0.036922125,2
-4.443624399,4.949694901,0.273253596,2
-2.853996599,-2.308252518,-0.506504039,3
3.515306971,4.683364374,0.117060516,0
3.169149509,-0.857826529,-0.25590265,0
0.023216634,-4.746875468,0.634866365,3
